node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
HOXA9,HOXA2,DLX4,0.8015446206025020,0.5884072566773830,3.7532448846107000,3.8684865855447000,1.2595099833489200,0.2913329491211750,0.001,0.001,0.118,0.5044944341810530
HOXB5,HOXB6,DPRX,1.1664079793536400,0.9614943445816300,4.109587597615310,2.9022030072205400,3.5865770535409200,0.2987662607696850,0.001,0.004,0.002,0.5046641868216360
HOXA5,HOXA9,MEIS1,1.0201047777773100,0.492885977599253,3.3461256960752000,2.9486184338792200,1.0831604002711000,0.2833449074668840,0.001,0.005,0.151,0.504848387195155
HOXB8,PBX3,WT1,0.327651856770474,0.3486257039963590,3.0194164540100900,2.395495236070040,0.2804047954366090,0.2518950708304910,0.001,0.007,0.386,0.5054924742579900
HOXB8,HOXB5,USF2,0.4946491730374860,0.3854930197576750,2.8760870852885900,2.56444158852514,3.327429397678300,0.2664323373911060,0.001,0.006,0.002,0.506669569801646
PBX3,HOXA7,MAX,0.5133840201686720,0.4572144445445110,3.525503412638220,3.969867500655200,2.982969762378930,0.2572580607032350,0.001,0.001,0.006,0.5125766644143940
HOXB6,HOXB3,HOXA13,0.7937088283347760,0.5433531337759810,3.500339239854400,2.3509583966122200,3.023166414337560,0.2334070309141790,0.001,0.015,0.004,0.5126193439088410
HOXB8,PBX3,NANOG,0.327651856770474,0.3387102565413380,2.841227656126000,2.5369132835500600,1.501818963620090,0.2439217122629860,0.001,0.004,0.095,0.5131363526642340
HOXA3,HOXA5,BPTF,1.3332641246712900,1.1603696928029500,3.764965665124280,3.9192630288638400,2.4915565522113800,0.2629606413522050,0.001,0.001,0.014,0.5135872989012620
HOXA9,HOXA7,HOXB7,1.112822518526140,0.6872632453568330,3.4537755209539300,3.562625419587330,3.6522840551778300,0.2583447046365760,0.001,0.001,0.001,0.513944689432814
PBX3,HOXA7,DNMT1,0.5133840201686720,0.5817080378264080,3.376304568090450,3.370271363382350,4.502242661945330,0.2539735854714100,0.001,0.001,0.001,0.5191341211539680
